year,institute_original,institute_norm,rank,score,perception,institute,rank_prev,score_prev,rank_change,score_change,volatility,perception_gap
2022,"National Institute of Technology, Silchar",national institute of technology silchar,76.0,46.76,6.29,"National Institute of Technology, Silchar",,,,,0.0,40.47
2022,"National Institute of Technology, Tiruchirappalli",national institute of technology tiruchirappalli,21.0,58.95,52.2,"National Institute of Technology, Tiruchirappalli",,,,,0.0,6.75
2023,National Institute of Technology Calicut,national institute of technology calicut,54.0,51.62,17.73,National Institute of Technology Calicut,,,,,4.5,33.89
2025,National Institute of Technology Calicut,national institute of technology calicut,45.0,56.16,22.48,National Institute of Technology Calicut,54.0,51.62,9.0,4.54,4.5,33.68
2019,National Institute of Technology Durgapur,national institute of technology durgapur,93.0,41.59,12.14,National Institute of Technology Durgapur,,,,,9.93,29.45
2020,National Institute of Technology Durgapur,national institute of technology durgapur,71.0,45.36,9.9,National Institute of Technology Durgapur,93.0,41.59,22.0,3.77,9.93,35.46
2021,National Institute of Technology Durgapur,national institute of technology durgapur,71.0,45.36,9.9,National Institute of Technology Durgapur,71.0,45.36,0.0,0.0,9.93,35.46
2022,National Institute of Technology Durgapur,national institute of technology durgapur,72.0,47.9,14.24,National Institute of Technology Durgapur,71.0,45.36,-1.0,2.54,9.93,33.66
2023,National Institute of Technology Durgapur,national institute of technology durgapur,90.0,46.81,10.45,National Institute of Technology Durgapur,72.0,47.9,-18.0,-1.09,9.93,36.36
2019,National Institute of Technology Karnataka,national institute of technology karnataka,53.0,47.37,29.4,National Institute of Technology Karnataka,,,,,9.9,17.97
2020,National Institute of Technology Karnataka,national institute of technology karnataka,32.0,52.88,30.01,National Institute of Technology Karnataka,53.0,47.37,21.0,5.51,9.9,22.87
2021,National Institute of Technology Karnataka,national institute of technology karnataka,32.0,52.88,30.01,National Institute of Technology Karnataka,32.0,52.88,0.0,0.0,9.9,22.87
2022,"National Institute of Technology Karnataka, Surathkal",national institute of technology karnataka surathkal,27.0,56.74,38.54,"National Institute of Technology Karnataka, Surathkal",,,,,11.09,18.2
2023,"National Institute of Technology Karnataka, Surathkal",national institute of technology karnataka surathkal,38.0,55.47,33.2,"National Institute of Technology Karnataka, Surathkal",27.0,56.74,-11.0,-1.27,11.09,22.27
2025,"National Institute of Technology Karnataka, Surathkal",national institute of technology karnataka surathkal,54.0,55.21,29.47,"National Institute of Technology Karnataka, Surathkal",38.0,55.47,-16.0,-0.26,11.09,25.74
2017,National Institute of Technology Rourkela,national institute of technology rourkela,46.0,44.02,4.0,National Institute of Technology Rourkela,,,,,3.38,40.02
2018,National Institute of Technology Rourkela,national institute of technology rourkela,42.0,48.62,9.85,National Institute of Technology Rourkela,46.0,44.02,4.0,4.6,3.38,38.77
2019,National Institute of Technology Rourkela,national institute of technology rourkela,38.0,50.75,24.4,National Institute of Technology Rourkela,42.0,48.62,4.0,2.13,3.38,26.35
2020,National Institute of Technology Rourkela,national institute of technology rourkela,41.0,49.27,17.89,National Institute of Technology Rourkela,38.0,50.75,-3.0,-1.48,3.38,31.38
2021,National Institute of Technology Rourkela,national institute of technology rourkela,41.0,49.27,17.89,National Institute of Technology Rourkela,41.0,49.27,0.0,0.0,3.38,31.38
2022,National Institute of Technology Rourkela,national institute of technology rourkela,39.0,53.77,18.08,National Institute of Technology Rourkela,41.0,49.27,2.0,4.5,3.38,35.69
2023,National Institute of Technology Rourkela,national institute of technology rourkela,37.0,55.52,14.68,National Institute of Technology Rourkela,39.0,53.77,2.0,1.75,3.38,40.84
2025,National Institute of Technology Rourkela,national institute of technology rourkela,34.0,58.55,15.78,National Institute of Technology Rourkela,37.0,55.52,3.0,3.03,3.38,42.77
2020,National Institute of Technology Silchar,national institute of technology silchar,93.0,42.68,6.85,National Institute of Technology Silchar,,,,,5.17,35.83
2021,National Institute of Technology Silchar,national institute of technology silchar,93.0,42.68,6.85,National Institute of Technology Silchar,93.0,42.68,0.0,0.0,5.17,35.83
2023,National Institute of Technology Silchar,national institute of technology silchar,83.0,48.12,6.78,National Institute of Technology Silchar,93.0,42.68,10.0,5.44,5.17,41.34
2025,National Institute of Technology Silchar,national institute of technology silchar,97.0,49.51,4.63,National Institute of Technology Silchar,83.0,48.12,-14.0,1.39,5.17,44.88
2017,National Institute of Technology Surathkal,national institute of technology surathkal,65.0,41.8,20.13,National Institute of Technology Surathkal,,,,,4.0,21.67
2018,National Institute of Technology Surathkal,national institute of technology surathkal,57.0,46.14,25.85,National Institute of Technology Surathkal,65.0,41.8,8.0,4.34,4.0,20.29
2017,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,34.0,46.57,20.92,National Institute of Technology Tiruchirappalli,,,,,4.62,25.65
2018,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,31.0,51.38,38.55,National Institute of Technology Tiruchirappalli,34.0,46.57,3.0,4.81,4.62,12.83
2019,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,24.0,54.32,50.61,National Institute of Technology Tiruchirappalli,31.0,51.38,7.0,2.94,4.62,3.71
2020,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,23.0,54.97,51.82,National Institute of Technology Tiruchirappalli,24.0,54.32,1.0,0.65,4.62,3.15
2021,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,23.0,54.97,51.82,National Institute of Technology Tiruchirappalli,23.0,54.97,0.0,0.0,4.62,3.15
2023,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,21.0,60.43,58.95,National Institute of Technology Tiruchirappalli,23.0,54.97,2.0,5.46,4.62,1.48
2025,National Institute of Technology Tiruchirappalli,national institute of technology tiruchirappalli,30.0,60.05,56.51,National Institute of Technology Tiruchirappalli,21.0,60.43,-9.0,-0.38,4.62,3.54
2017,National Institute of Technology Warangal,national institute of technology warangal,82.0,40.05,7.43,National Institute of Technology Warangal,,,,,11.42,32.62
2018,National Institute of Technology Warangal,national institute of technology warangal,78.0,43.16,6.11,National Institute of Technology Warangal,82.0,40.05,4.0,3.11,11.42,37.05
2019,National Institute of Technology Warangal,national institute of technology warangal,61.0,46.06,19.51,National Institute of Technology Warangal,78.0,43.16,17.0,2.9,11.42,26.55
2020,National Institute of Technology Warangal,national institute of technology warangal,59.0,46.69,25.01,National Institute of Technology Warangal,61.0,46.06,2.0,0.63,11.42,21.68
2021,National Institute of Technology Warangal,national institute of technology warangal,59.0,46.69,25.01,National Institute of Technology Warangal,59.0,46.69,0.0,0.0,11.42,21.68
2022,National Institute of Technology Warangal,national institute of technology warangal,45.0,50.61,25.15,National Institute of Technology Warangal,59.0,46.69,14.0,3.92,11.42,25.46
2023,National Institute of Technology Warangal,national institute of technology warangal,53.0,51.83,20.33,National Institute of Technology Warangal,45.0,50.61,-8.0,1.22,11.42,31.5
2025,National Institute of Technology Warangal,national institute of technology warangal,63.0,53.23,23.19,National Institute of Technology Warangal,53.0,51.83,-10.0,1.4,11.42,30.04
2019,NITTE,nitte,99.0,40.88,6.51,NITTE,,,,,0.0,34.37
2017,North Eastern Hill University,north eastern hill university,77.0,40.51,3.24,North Eastern Hill University,,,,,10.84,37.27
2018,North Eastern Hill University,north eastern hill university,88.0,42.34,5.03,North Eastern Hill University,77.0,40.51,-11.0,1.83,10.84,37.31
2019,North Eastern Hill University,north eastern hill university,62.0,45.99,6.51,North Eastern Hill University,88.0,42.34,26.0,3.65,10.84,39.48
2020,North Eastern Hill University,north eastern hill university,90.0,42.79,11.62,North Eastern Hill University,62.0,45.99,-28.0,-3.2,10.84,31.17
2021,North Eastern Hill University,north eastern hill university,90.0,42.79,11.62,North Eastern Hill University,90.0,42.79,0.0,0.0,10.84,31.17
2017,Osmania University,osmania university,38.0,45.52,11.16,Osmania University,,,,,9.39,34.36
2018,Osmania University,osmania university,45.0,48.02,5.76,Osmania University,38.0,45.52,-7.0,2.5,9.39,42.26
2019,Osmania University,osmania university,43.0,49.86,9.26,Osmania University,45.0,48.02,2.0,1.84,9.39,40.6
2020,Osmania University,osmania university,62.0,46.57,13.82,Osmania University,43.0,49.86,-19.0,-3.29,9.39,32.75
2021,Osmania University,osmania university,62.0,46.57,13.82,Osmania University,62.0,46.57,0.0,0.0,9.39,32.75
2022,Osmania University,osmania university,46.0,50.6,17.71,Osmania University,62.0,46.57,16.0,4.03,9.39,32.89
2023,Osmania University,osmania university,64.0,49.94,9.15,Osmania University,46.0,50.6,-18.0,-0.66,9.39,40.79
2025,Osmania University,osmania university,53.0,55.24,10.1,Osmania University,64.0,49.94,11.0,5.3,9.39,45.14
2017,Panjab University,panjab university,54.0,43.13,18.99,Panjab University,,,,,8.29,24.14
2018,Panjab University,panjab university,33.0,50.94,23.58,Panjab University,54.0,43.13,21.0,7.81,8.29,27.36
2019,Panjab University,panjab university,34.0,51.25,27.09,Panjab University,33.0,50.94,-1.0,0.31,8.29,24.16
2020,Panjab University,panjab university,38.0,50.31,37.31,Panjab University,34.0,51.25,-4.0,-0.94,8.29,13.0
2021,Panjab University,panjab university,38.0,50.31,37.31,Panjab University,38.0,50.31,0.0,0.0,8.29,13.0
2022,Panjab University,panjab university,41.0,51.23,27.56,Panjab University,38.0,50.31,-3.0,0.92,8.29,23.67
2023,Panjab University,panjab university,44.0,53.31,28.52,Panjab University,41.0,51.23,-3.0,2.08,8.29,24.79
2025,Panjab University,panjab university,57.0,54.65,25.46,Panjab University,44.0,53.31,-13.0,1.34,8.29,29.19
2024,PERCEPTION (100),perception 100,9.0,69.04,43.43,PERCEPTION (100),,,,,0.0,25.61
2019,Periyar University,periyar university,97.0,40.99,19.25,Periyar University,,,,,0.0,21.74
2017,Pondicherry University,pondicherry university,59.0,42.7,4.67,Pondicherry University,,,,,11.16,38.03
2018,Pondicherry University,pondicherry university,86.0,42.36,14.76,Pondicherry University,59.0,42.7,-27.0,-0.34,11.16,27.6
2019,Pondicherry University,pondicherry university,72.0,44.88,19.25,Pondicherry University,86.0,42.36,14.0,2.52,11.16,25.63
2020,Pondicherry University,pondicherry university,87.0,43.1,17.89,Pondicherry University,72.0,44.88,-15.0,-1.78,11.16,25.21
2021,Pondicherry University,pondicherry university,87.0,43.1,17.89,Pondicherry University,87.0,43.1,0.0,0.0,11.16,25.21
2025,Post Graduate Institute of Medical Education and Research,post graduate institute of medical education and research,33.0,59.15,26.56,Post Graduate Institute of Medical Education and Research,,,,,0.0,32.59
2017,PSG College of Technology,psg college of technology,88.0,39.07,25.48,PSG College of Technology,,,,,9.03,13.59
2018,PSG College of Technology,psg college of technology,64.0,44.94,38.71,PSG College of Technology,88.0,39.07,24.0,5.87,9.03,6.23
2019,PSG College of Technology,psg college of technology,76.0,44.46,43.66,PSG College of Technology,64.0,44.94,-12.0,-0.48,9.03,0.8
2020,PSG College of Technology,psg college of technology,86.0,43.14,43.26,PSG College of Technology,76.0,44.46,-10.0,-1.32,9.03,-0.12
2021,PSG College of Technology,psg college of technology,86.0,43.14,43.26,PSG College of Technology,86.0,43.14,0.0,0.0,9.03,-0.12
2018,PSG Institute of Medical Sciences & Research,psg institute of medical sciences research,75.0,43.24,10.5,PSG Institute of Medical Sciences & Research,,,,,0.0,32.74
2018,Punjab Agricultural University,punjab agricultural university,60.0,45.56,5.4,Punjab Agricultural University,,,,,8.83,40.16
2019,Punjab Agricultural University,punjab agricultural university,75.0,44.66,3.19,Punjab Agricultural University,60.0,45.56,-15.0,-0.9,8.83,41.47
2025,Punjab Agricultural University,punjab agricultural university,81.0,51.03,6.42,Punjab Agricultural University,75.0,44.66,-6.0,6.37,8.83,44.61
2017,"Punjab Agricultural University, Ludhiana",punjab agricultural university ludhiana,40.0,44.99,3.83,"Punjab Agricultural University, Ludhiana",,,,,17.0,41.16
2023,"Punjab Agricultural University, Ludhiana",punjab agricultural university ludhiana,74.0,48.97,7.82,"Punjab Agricultural University, Ludhiana",40.0,44.99,-34.0,3.98,17.0,41.15
2017,Rajiv Gandhi Indian Institute of Management,rajiv gandhi indian institute of management,99.0,37.28,0.57,Rajiv Gandhi Indian Institute of Management,,,,,0.0,36.71
2020,S.R.M. Institute of Science and Technology,s r m institute of science and technology,53.0,47.3,10.48,S.R.M. Institute of Science and Technology,,,,,12.16,36.82
2021,S.R.M. Institute of Science and Technology,s r m institute of science and technology,53.0,47.3,10.48,S.R.M. Institute of Science and Technology,53.0,47.3,0.0,0.0,12.16,36.82
2022,S.R.M. Institute of Science and Technology,s r m institute of science and technology,36.0,53.99,25.15,S.R.M. Institute of Science and Technology,53.0,47.3,17.0,6.69,12.16,28.84
2023,S.R.M. Institute of Science and Technology,s r m institute of science and technology,32.0,56.44,23.94,S.R.M. Institute of Science and Technology,36.0,53.99,4.0,2.45,12.16,32.5
2025,S.R.M. Institute of Science and Technology,s r m institute of science and technology,22.0,62.87,20.28,S.R.M. Institute of Science and Technology,32.0,56.44,10.0,6.43,12.16,42.59
2017,S.R.M Institute of Science and Technology,s r m institute of science and technology,55.0,43.07,10.8,S.R.M Institute of Science and Technology,,,,,0.0,32.27
2020,Sardar Vallabhbhai National Institute of Technology,sardar vallabhbhai national institute of technology,98.0,41.72,7.48,Sardar Vallabhbhai National Institute of Technology,,,,,0.0,34.24
2021,Sardar Vallabhbhai National Institute of Technology,sardar vallabhbhai national institute of technology,98.0,41.72,7.48,Sardar Vallabhbhai National Institute of Technology,98.0,41.72,0.0,0.0,0.0,34.24
2017,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,72.0,41.3,11.08,Sathyabama Institute of Science and Technology,,,,,10.77,30.22
2018,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,68.0,44.34,4.3,Sathyabama Institute of Science and Technology,72.0,41.3,4.0,3.04,10.77,40.04
2019,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,64.0,45.58,2.41,Sathyabama Institute of Science and Technology,68.0,44.34,4.0,1.24,10.77,43.17
2020,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,61.0,46.6,7.48,Sathyabama Institute of Science and Technology,64.0,45.58,3.0,1.02,10.77,39.12
2021,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,61.0,46.6,7.48,Sathyabama Institute of Science and Technology,61.0,46.6,0.0,0.0,10.77,39.12
2022,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,67.0,48.09,23.57,Sathyabama Institute of Science and Technology,61.0,46.6,-6.0,1.49,10.77,24.52
2023,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,84.0,47.95,16.38,Sathyabama Institute of Science and Technology,67.0,48.09,-17.0,-0.14,10.77,31.57
2025,Sathyabama Institute of Science and Technology,sathyabama institute of science and technology,93.0,49.79,9.13,Sathyabama Institute of Science and Technology,84.0,47.95,-9.0,1.84,10.77,40.66
2017,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,91.0,38.68,5.81,Saveetha Institute of Medical and Technical Sciences,,,,,21.26,32.87
2018,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,70.0,44.0,3.17,Saveetha Institute of Medical and Technical Sciences,91.0,38.68,21.0,5.32,21.26,40.83
2019,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,67.0,45.42,0.0,Saveetha Institute of Medical and Technical Sciences,70.0,44.0,3.0,1.42,21.26,45.42
2020,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,49.0,48.63,2.18,Saveetha Institute of Medical and Technical Sciences,67.0,45.42,18.0,3.21,21.26,46.45
2021,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,49.0,48.63,2.18,Saveetha Institute of Medical and Technical Sciences,49.0,48.63,0.0,0.0,21.26,46.45
2022,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,44.0,50.81,5.31,Saveetha Institute of Medical and Technical Sciences,49.0,48.63,5.0,2.18,21.26,45.5
2023,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,27.0,58.14,5.37,Saveetha Institute of Medical and Technical Sciences,44.0,50.81,17.0,7.33,21.26,52.77
2025,Saveetha Institute of Medical and Technical Sciences,saveetha institute of medical and technical sciences,23.0,62.23,6.42,Saveetha Institute of Medical and Technical Sciences,27.0,58.14,4.0,4.09,21.26,55.81
2017,Savitribai Phule Pune University,savitribai phule pune university,18.0,52.81,11.2,Savitribai Phule Pune University,,,,,23.66,41.61
2018,Savitribai Phule Pune University,savitribai phule pune university,16.0,58.24,15.04,Savitribai Phule Pune University,18.0,52.81,2.0,5.43,23.66,43.2
2019,Savitribai Phule Pune University,savitribai phule pune university,17.0,58.4,16.55,Savitribai Phule Pune University,16.0,58.24,-1.0,0.16,23.66,41.85
2020,Savitribai Phule Pune University,savitribai phule pune university,20.0,55.83,16.41,Savitribai Phule Pune University,17.0,58.4,-3.0,-2.57,23.66,39.42
2021,Savitribai Phule Pune University,savitribai phule pune university,20.0,55.83,16.41,Savitribai Phule Pune University,20.0,55.83,0.0,0.0,23.66,39.42
2022,Savitribai Phule Pune University,savitribai phule pune university,25.0,56.99,16.97,Savitribai Phule Pune University,20.0,55.83,-5.0,1.16,23.66,40.02
2023,Savitribai Phule Pune University,savitribai phule pune university,35.0,55.78,15.82,Savitribai Phule Pune University,25.0,56.99,-10.0,-1.21,23.66,39.96
2025,Savitribai Phule Pune University,savitribai phule pune university,91.0,49.83,16.61,Savitribai Phule Pune University,35.0,55.78,-56.0,-5.95,23.66,33.22
2018,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,54.0,46.33,11.45,Shanmugha Arts Science Technology & Research Academy,,,,,6.72,34.88
2019,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,63.0,45.8,6.86,Shanmugha Arts Science Technology & Research Academy,54.0,46.33,-9.0,-0.53,6.72,38.94
2020,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,42.0,49.15,10.48,Shanmugha Arts Science Technology & Research Academy,63.0,45.8,21.0,3.35,6.72,38.67
2021,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,42.0,49.15,10.48,Shanmugha Arts Science Technology & Research Academy,42.0,49.15,0.0,0.0,6.72,38.67
2022,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,49.0,50.33,9.57,Shanmugha Arts Science Technology & Research Academy,42.0,49.15,-7.0,1.18,6.72,40.76
2023,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,49.0,52.0,9.48,Shanmugha Arts Science Technology & Research Academy,49.0,50.33,0.0,1.67,6.72,42.52
2025,Shanmugha Arts Science Technology & Research Academy,shanmugha arts science technology research academy,51.0,55.32,8.46,Shanmugha Arts Science Technology & Research Academy,49.0,52.0,-2.0,3.32,6.72,46.86
2017,Shanmugha Arts Science Technology & Research Academy (SASTRA),shanmugha arts science technology research academy sastra,50.0,43.5,11.1,Shanmugha Arts Science Technology & Research Academy (SASTRA),,,,,0.0,32.4
2025,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,sher e kashmir university of agricultural science and technology of kashmir,94.0,49.75,1.6,Sher-e-Kashmir University of Agricultural Science and Technology of Kashmir,,,,,0.0,48.15
2017,Shiv Nadar University,shiv nadar university,96.0,37.95,5.24,Shiv Nadar University,,,,,8.15,32.71
2018,Shiv Nadar University,shiv nadar university,72.0,43.68,0.0,Shiv Nadar University,96.0,37.95,24.0,5.73,8.15,43.68
2019,Shiv Nadar University,shiv nadar university,77.0,44.45,6.15,Shiv Nadar University,72.0,43.68,-5.0,0.77,8.15,38.3
2020,Shiv Nadar University,shiv nadar university,84.0,43.6,13.28,Shiv Nadar University,77.0,44.45,-7.0,-0.85,8.15,30.32
2021,Shiv Nadar University,shiv nadar university,84.0,43.6,13.28,Shiv Nadar University,84.0,43.6,0.0,0.0,8.15,30.32
2022,Shiv Nadar University,shiv nadar university,94.0,44.94,5.8,Shiv Nadar University,84.0,43.6,-10.0,1.34,8.15,39.14
2023,Shiv Nadar University,shiv nadar university,95.0,46.18,9.48,Shiv Nadar University,94.0,44.94,-1.0,1.24,8.15,36.7
2025,Shiv Nadar University,shiv nadar university,85.0,50.8,13.78,Shiv Nadar University,95.0,46.18,10.0,4.62,8.15,37.02
2018,Siksha `O` Anusandhan,siksha o anusandhan,38.0,49.59,7.17,Siksha `O` Anusandhan,,,,,5.88,42.42
2019,Siksha `O` Anusandhan,siksha o anusandhan,41.0,50.31,20.02,Siksha `O` Anusandhan,38.0,49.59,-3.0,0.72,5.88,30.29
2020,Siksha `O` Anusandhan,siksha o anusandhan,37.0,50.34,13.28,Siksha `O` Anusandhan,41.0,50.31,4.0,0.03,5.88,37.06
2021,Siksha `O` Anusandhan,siksha o anusandhan,37.0,50.34,13.28,Siksha `O` Anusandhan,37.0,50.34,0.0,0.0,5.88,37.06
2022,Siksha `O` Anusandhan,siksha o anusandhan,30.0,55.42,27.26,Siksha `O` Anusandhan,37.0,50.34,7.0,5.08,5.88,28.16
2023,Siksha `O` Anusandhan,siksha o anusandhan,26.0,58.35,34.11,Siksha `O` Anusandhan,30.0,55.42,4.0,2.93,5.88,24.24
2025,Siksha `O` Anusandhan,siksha o anusandhan,25.0,61.01,28.87,Siksha `O` Anusandhan,26.0,58.35,1.0,2.66,5.88,32.14
2017,Siksha`O` Anusandhan University,siksha o anusandhan university,33.0,46.72,15.57,Siksha`O` Anusandhan University,,,,,0.0,31.15
2019,Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,54.0,47.34,6.15,Sri Ramachandra Institute of Higher Education and Research,,,,,14.15,41.19
2020,Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,79.0,44.4,7.48,Sri Ramachandra Institute of Higher Education and Research,54.0,47.34,-25.0,-2.94,14.15,36.92
2021,Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,79.0,44.4,7.48,Sri Ramachandra Institute of Higher Education and Research,79.0,44.4,0.0,0.0,14.15,36.92
2022,Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,83.0,46.08,6.78,Sri Ramachandra Institute of Higher Education and Research,79.0,44.4,-4.0,1.68,14.15,39.3
2023,Sri Ramachandra Institute of Higher Education and Research,sri ramachandra institute of higher education and research,98.0,45.84,7.82,Sri Ramachandra Institute of Higher Education and Research,83.0,46.08,-15.0,-0.24,14.15,38.02
2018,Sri Ramachandra Medical College and Research Institute,sri ramachandra medical college and research institute,62.0,45.29,5.76,Sri Ramachandra Medical College and Research Institute,,,,,0.0,39.53
2017,Sri Ramachandra University,sri ramachandra university,61.0,42.46,8.86,Sri Ramachandra University,,,,,0.0,33.6
2018,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,73.0,43.6,10.82,Sri Sivasubramaniya Nadar College of Engineering,,,,,7.28,32.78
2019,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,78.0,44.35,7.56,Sri Sivasubramaniya Nadar College of Engineering,73.0,43.6,-5.0,0.75,7.28,36.79
2020,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,89.0,42.94,9.9,Sri Sivasubramaniya Nadar College of Engineering,78.0,44.35,-11.0,-1.41,7.28,33.04
2021,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,89.0,42.94,9.9,Sri Sivasubramaniya Nadar College of Engineering,89.0,42.94,0.0,0.0,7.28,33.04
2022,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,96.0,44.69,15.04,Sri Sivasubramaniya Nadar College of Engineering,89.0,42.94,-7.0,1.75,7.28,29.65
2023,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,80.0,48.18,8.49,Sri Sivasubramaniya Nadar College of Engineering,96.0,44.69,16.0,3.49,7.28,39.69
2025,Sri Sivasubramaniya Nadar College of Engineering,sri sivasubramaniya nadar college of engineering,82.0,51.01,11.05,Sri Sivasubramaniya Nadar College of Engineering,80.0,48.18,-2.0,2.83,7.28,39.96
2017,Sri Sivasubrmaniya Nadar College of Engineering,sri sivasubrmaniya nadar college of engineering,80.0,40.31,13.86,Sri Sivasubrmaniya Nadar College of Engineering,,,,,0.0,26.45
2018,Sri Venkateswara Institute of Medical Sciences,sri venkateswara institute of medical sciences,89.0,42.33,0.41,Sri Venkateswara Institute of Medical Sciences,,,,,0.0,41.92
2017,Sri Venkateswara University,sri venkateswara university,68.0,41.48,1.94,Sri Venkateswara University,,,,,10.31,39.54
2018,Sri Venkateswara University,sri venkateswara university,74.0,43.44,2.01,Sri Venkateswara University,68.0,41.48,-6.0,1.96,10.31,41.43
2019,Sri Venkateswara University,sri venkateswara university,72.0,44.88,6.51,Sri Venkateswara University,74.0,43.44,2.0,1.44,10.31,38.37
2020,Sri Venkateswara University,sri venkateswara university,92.0,42.78,5.57,Sri Venkateswara University,72.0,44.88,-20.0,-2.1,10.31,37.21
2021,Sri Venkateswara University,sri venkateswara university,92.0,42.78,5.57,Sri Venkateswara University,92.0,42.78,0.0,0.0,10.31,37.21
2018,SRM Institute of Science and Technology,srm institute of science and technology,63.0,45.17,8.53,SRM Institute of Science and Technology,,,,,5.5,36.64
2019,SRM Institute of Science and Technology,srm institute of science and technology,52.0,47.8,14.26,SRM Institute of Science and Technology,63.0,45.17,11.0,2.63,5.5,33.54
2018,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,82.0,42.8,0.81,SVKM`s Narsee Monjee Institute of Management Studies,,,,,4.95,41.99
2019,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,83.0,43.63,1.22,SVKM`s Narsee Monjee Institute of Management Studies,82.0,42.8,-1.0,0.83,4.95,42.41
2020,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,94.0,42.56,4.24,SVKM`s Narsee Monjee Institute of Management Studies,83.0,43.63,-11.0,-1.07,4.95,38.32
2021,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,94.0,42.56,4.24,SVKM`s Narsee Monjee Institute of Management Studies,94.0,42.56,0.0,0.0,4.95,38.32
2022,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,89.0,45.68,7.26,SVKM`s Narsee Monjee Institute of Management Studies,94.0,42.56,5.0,3.12,4.95,38.42
2023,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,88.0,47.46,5.01,SVKM`s Narsee Monjee Institute of Management Studies,89.0,45.68,1.0,1.78,4.95,42.45
2025,SVKM`s Narsee Monjee Institute of Management Studies,svkm s narsee monjee institute of management studies,95.0,49.66,3.89,SVKM`s Narsee Monjee Institute of Management Studies,88.0,47.46,-7.0,2.2,4.95,45.77
2018,Symbiosis International,symbiosis international,67.0,44.62,6.11,Symbiosis International,,,,,11.77,38.51
2019,Symbiosis International,symbiosis international,82.0,43.65,3.19,Symbiosis International,67.0,44.62,-15.0,-0.97,11.77,40.46
2020,Symbiosis International,symbiosis international,68.0,45.65,14.35,Symbiosis International,82.0,43.65,14.0,2.0,11.77,31.3
2021,Symbiosis International,symbiosis international,68.0,45.65,14.35,Symbiosis International,68.0,45.65,0.0,0.0,11.77,31.3
2022,Symbiosis International,symbiosis international,62.0,49.22,25.46,Symbiosis International,68.0,45.65,6.0,3.57,11.77,23.76
2023,Symbiosis International,symbiosis international,59.0,50.59,15.54,Symbiosis International,62.0,49.22,3.0,1.37,11.77,35.05
2025,Symbiosis International,symbiosis international,40.0,56.86,23.19,Symbiosis International,59.0,50.59,19.0,6.27,11.77,33.67
2017,Symbiosis International University,symbiosis international university,97.0,37.67,14.31,Symbiosis International University,,,,,0.0,23.36
